id,pt,en,focus
1,Já percebi; obrigado por explicares isso de forma simples.,Got it; thanks for explaining that in a simple way.,já percebi
2,"Agora não posso; ligo-te mais tarde, quando estiver livre.","I can't right now; I'll call you later, when I'm free.",agora não posso
3,"Diz-me isso outra vez, por favor, mas mais devagar.","Tell me that again, please, but more slowly.",outra vez
4,Estou a aprender português; todos os dias pratico um pouco.,I'm learning Portuguese; every day I practice a bit.,todos os dias
5,"Se não der hoje, fazemos isso amanhã sem problema nenhum.","If it doesn't work today, we'll do it tomorrow, no problem.",se não der
6,"Quero fazer isto bem, para não cometer erros.","I want to do this well, so I don't make mistakes.",para não
7,"Vou fazer uma pausa, beber água, e continuar com calma.","I'll take a break, drink water, and continue calmly.",com calma
8,Tenho de ir agora; falamos depois com mais tempo.,I have to go now; we'll talk later with more time.,falamos depois
9,"Podes enviar-me a morada certa, para eu chegar bem?",Can you send me the right address so I arrive well?,podes enviar-me
10,Não te preocupes; tudo vai ficar bem no fim.,Don't worry; everything will be fine in the end.,não te preocupes
11,Hoje é um bom dia para começar de novo.,Today is a good day to start again.,começar de novo
12,"Se quiseres, podemos ver isso juntos mais tarde.","If you want, we can look at that together later.",se quiseres
13,"Eu tento, mas às vezes não consigo sozinho.","I try, but sometimes I can't do it alone.",às vezes
14,"Se tiveres dúvidas, pergunta-me e eu ajudo já.","If you have doubts, ask me and I'll help right away.",se tiveres dúvidas
15,Hoje está a chover; por isso vou com calma.,"It's raining today, so I'll go carefully.",por isso
16,Hoje está frio; por isso fico em casa.,"It's cold today, so I'm staying home.",por isso
17,Hoje está vento; por isso fico em casa.,"It's windy today, so I'm staying home.",por isso
18,Hoje está nevoeiro; por isso vou com calma.,"It's foggy today, so I'll go carefully.",por isso
19,"Hoje tenho de pagar a conta, mas vou com calma.","Today I have to pay the bill, but I'll take it calmly.",tenho de
20,"Estou a treinar um pouco agora, sem pressa nenhuma.","I'm practicing a little now, with no rush at all.",estou a
21,"Vale a pena fazer uma pergunta agora, ou esperamos um pouco?","Is it worth asking a question now, or do we wait a bit?",vale a pena
22,"Antes de sair, preciso de fechar a porta com calma.","Before I go out, I need to lock the door calmly.",preciso de
23,Hoje vou ver a agenda e depois descansar um pouco.,Today I'll check the schedule and then rest a bit.,depois
24,"Se tiver tempo, vou ler um artigo ainda hoje.","If I have time, I'll read an article today.",se tiver tempo
25,"Quando puderes, ajuda-me a fazer a compra, por favor.","When you can, help me do the shopping, please.",por favor
26,"Hoje tenho de organizar a agenda, mas vou com calma.","Today I have to organize the schedule, but I'll take it calmly.",tenho de
27,"Estou a ver o documento agora, sem pressa nenhuma.","I'm checking the document now, with no rush at all.",estou a
28,"Vale a pena ouvir a rádio agora, ou esperamos um pouco?","Is it worth listening to the radio now, or do we wait a bit?",vale a pena
29,"Antes de sair, preciso de procurar a chave com calma.","Before I go out, I need to look for the key calmly.",preciso de
30,Hoje vou organizar as ideias e depois descansar um pouco.,Today I'll organize my thoughts and then rest a bit.,depois
31,"Se tiver tempo, vou dar um passeio ainda hoje.","If I have time, I'll take a walk today.",se tiver tempo
32,"Quando puderes, ajuda-me a preparar o almoço, por favor.","When you can, help me prepare lunch, please.",por favor
33,"Hoje tenho de responder ao e-mail, mas vou com calma.","Today I have to reply to the email, but I'll take it calmly.",tenho de
34,"Estou a praticar português agora, sem pressa nenhuma.","I'm practicing Portuguese now, with no rush at all.",estou a
35,"Vale a pena ver o ficheiro agora, ou esperamos um pouco?","Is it worth checking the file now, or do we wait a bit?",vale a pena
36,"Antes de sair, preciso de arrumar a mala com calma.","Before I go out, I need to pack the bag calmly.",preciso de
37,Hoje vou fazer uma lista e depois descansar um pouco.,Today I'll make a list and then rest a bit.,depois
38,"Se tiver tempo, vou comprar pão ainda hoje.","If I have time, I'll buy bread today.",se tiver tempo
39,"Quando puderes, ajuda-me a terminar o relatório, por favor.","When you can, help me finish the report, please.",por favor
40,"Hoje tenho de pedir ajuda, mas vou com calma.","Today I have to ask for help, but I'll take it calmly.",tenho de
